code    , name                                               , semester, category
BCD302  , Data Structures and Algorithm                      ,        3, IPCC
BCD304  , Computer Organization and Architecture             ,        3, PCC
BCD305  , Operating System                                   ,        3, PCC
BCD303  , Data Science for Engineering                       ,        3, IPCC
BCD306  , OOPS Using JAVA                                    ,        3, PCC
BMATD301, Linear Algebra Discrete Mathematics and Game Theory,        3, BSC
